"week","n","male","age","positive","prop_pos1","prop_pos2","negative"
2012-02-19,1,0,20,0,0,0,1
2012-02-26,NA,NA,NA,NA,NA,NA,NA
2012-03-04,4,4,26,2,2,0.5,2
2012-03-11,NA,NA,NA,NA,NA,NA,NA
2012-03-18,1,0,10,0,0,0,1
2012-03-25,2,1,15.5,1,1,0.5,1
2012-04-01,NA,NA,NA,NA,NA,NA,NA
2012-04-08,1,1,55,1,1,1,0
2012-04-15,NA,NA,NA,NA,NA,NA,NA
2012-04-22,1,0,4,0,0,0,1
2012-04-29,NA,NA,NA,NA,NA,NA,NA
2012-05-06,6,4,20.1666666666667,1,1,0.166666666666667,5
2012-05-13,7,6,10.1190476190476,0,0,0,7
2012-05-20,8,7,14.625,3,3,0.375,5
2012-05-27,2,2,19.5,0,0,0,2
2012-06-03,5,3,20.8333333333333,0,0,0,5
2012-06-10,7,5,22.2857142857143,1,1,0.142857142857143,6
2012-06-17,14,7,19.4285714285714,4,4,0.285714285714286,10
2012-06-24,10,5,22.2,2,2,0.2,8
2012-07-01,9,4,30.2222222222222,1,1,0.111111111111111,8
2012-07-08,14,8,18.7857142857143,2,2,0.142857142857143,12
2012-07-15,23,NA,22.6739130434783,11,11,0.478260869565217,12
2012-07-22,15,3,22.1333333333333,7,7,0.466666666666667,8
2012-07-29,18,12,28.3333333333333,8,8,0.444444444444444,10
2012-08-05,30,16,23.5333333333333,9,9,0.3,21
2012-08-12,27,NA,28.8518518518519,10,10,0.37037037037037,17
2012-08-19,22,NA,22,11,11,0.5,11
2012-08-26,14,7,16.6428571428571,6,6,0.428571428571429,8
2012-09-02,17,9,21.2941176470588,8,8,0.470588235294118,9
2012-09-09,23,12,20.304347826087,8,8,0.347826086956522,15
2012-09-16,20,10,15.1166666666667,6,6,0.3,14
2012-09-23,11,8,13.4545454545455,3,3,0.272727272727273,8
2012-09-30,18,NA,20.6111111111111,7,7,0.388888888888889,11
2012-10-07,17,8,22.5686274509804,7,7,0.411764705882353,10
2012-10-14,9,5,19.5555555555556,3,3,0.333333333333333,6
2012-10-21,20,11,21.35,8,8,0.4,12
2012-10-28,22,13,14,8,8,0.363636363636364,14
2012-11-04,19,10,20.6315789473684,10,10,0.526315789473684,9
2012-11-11,11,5,28.5454545454545,6,6,0.545454545454545,5
2012-11-18,21,9,21.2380952380952,11,11,0.523809523809524,10
2012-11-25,14,7,24.0714285714286,8,8,0.571428571428571,6
2012-12-02,22,9,24.8181818181818,15,15,0.681818181818182,7
2012-12-09,10,NA,20,5,5,0.5,5
2012-12-16,10,4,8.8,7,7,0.7,3
2012-12-23,4,3,11,2,2,0.5,2
2012-12-30,13,7,27.2307692307692,12,12,0.923076923076923,1
2013-01-06,9,4,17.2222222222222,7,7,0.777777777777778,2
2013-01-13,10,6,24.1,8,8,0.8,2
2013-01-20,10,9,20.8,6,6,0.6,4
2013-01-27,21,11,23.5714285714286,10,10,0.476190476190476,11
2013-02-03,12,4,19.3333333333333,9,9,0.75,3
2013-02-10,12,7,17.9097222222222,6,6,0.5,6
2013-02-17,5,3,12,2,2,0.4,3
2013-02-24,12,6,19.3333333333333,3,3,0.25,9
2013-03-03,10,NA,21.8,5,5,0.5,5
2013-03-10,14,7,19.3571428571429,10,10,0.714285714285714,4
2013-03-17,6,3,14.5,4,4,0.666666666666667,2
2013-03-24,21,NA,19.3928571428571,13,13,0.619047619047619,8
2013-03-31,10,7,13.9166666666667,4,4,0.4,6
2013-04-07,9,4,15.4444444444444,5,5,0.555555555555556,4
2013-04-14,16,8,17.015625,9,9,0.5625,7
2013-04-21,16,8,15.9427083333333,8,8,0.5,8
2013-04-28,27,16,19.4444444444444,18,18,0.666666666666667,9
2013-05-05,36,NA,20.8333333333333,25,25,0.694444444444444,11
2013-05-12,38,20,22.6842105263158,29,29,0.763157894736842,9
2013-05-19,41,NA,18.1219512195122,24,24,0.585365853658537,17
2013-05-26,60,31,23.2236111111111,40,40,0.666666666666667,20
2013-06-02,106,NA,20.1336477987421,77,77,0.726415094339623,29
2013-06-09,135,NA,18.7358024691358,98,98,0.725925925925926,37
2013-06-16,106,54,21.0566037735849,81,81,0.764150943396226,25
2013-06-23,117,61,17.3169515669516,78,78,0.666666666666667,39
2013-06-30,159,85,18.5702306079665,123,123,0.773584905660377,36
2013-07-07,134,NA,17.2189054726368,79,79,0.58955223880597,55
2013-07-14,130,NA,20.8198717948718,79,79,0.607692307692308,51
2013-07-21,132,NA,18.8680555555556,51,51,0.386363636363636,81
2013-07-28,120,NA,19.3215277777778,48,48,0.4,72
2013-08-04,132,NA,16.5050505050505,63,63,0.477272727272727,69
2013-08-11,54,31,15.5663580246914,19,19,0.351851851851852,35
2013-08-18,76,35,17.2105263157895,22,22,0.289473684210526,54
2013-08-25,81,NA,15.3652263374486,47,47,0.580246913580247,34
2013-09-01,64,28,12.3841145833333,28,28,0.4375,36
2013-09-08,52,27,20.286858974359,19,19,0.365384615384615,33
2013-09-15,52,NA,16.7051282051282,21,21,0.403846153846154,31
2013-09-22,32,16,14.9713541666667,16,16,0.5,16
2013-09-29,23,13,22.7210144927536,8,8,0.347826086956522,15
2013-10-06,21,NA,15.1666666666667,12,12,0.571428571428571,9
2013-10-13,13,5,19.3076923076923,7,7,0.538461538461538,6
2013-10-20,9,3,17.1111111111111,2,2,0.222222222222222,7
2013-10-27,10,4,14.5,2,2,0.2,8
2013-11-03,11,8,22.4545454545455,5,5,0.454545454545455,6
2013-11-10,9,4,9.33333333333333,2,2,0.222222222222222,7
2013-11-17,11,7,25.0909090909091,3,3,0.272727272727273,8
2013-11-24,8,5,23.5,3,3,0.375,5
2013-12-01,8,NA,16,2,2,0.25,6
2013-12-08,4,0,28.75,2,2,0.5,2
2013-12-15,5,2,9.6,1,1,0.2,4
2013-12-22,3,0,8.33333333333333,0,0,0,3
2013-12-29,2,0,23.5,0,0,0,2
2014-01-05,1,1,9,0,0,0,1
2014-01-12,2,1,6.5,0,0,0,2
2014-01-19,2,1,7,1,1,0.5,1
2014-01-26,5,NA,5.4,3,3,0.6,2
2014-02-02,6,2,19.3333333333333,1,1,0.166666666666667,5
2014-02-09,2,1,8,0,0,0,2
2014-02-16,3,2,17.3333333333333,0,0,0,3
2014-02-23,4,3,6,0,0,0,4
2014-03-02,3,2,18,0,0,0,3
2014-03-09,2,2,6.20833333333333,0,0,0,2
2014-03-16,12,6,29.75,1,1,0.0833333333333333,11
2014-03-23,6,3,17.3333333333333,0,0,0,6
2014-03-30,3,2,15,0,0,0,3
2014-04-06,2,0,4.83333333333333,0,0,0,2
2014-04-13,2,2,11.5,0,0,0,2
2014-04-20,2,2,43.5,0,0,0,2
2014-04-27,3,2,31.6666666666667,1,1,0.333333333333333,2
2014-05-04,3,2,26.3333333333333,0,0,0,3
2014-05-11,2,2,28,1,1,0.5,1
2014-05-18,6,4,10.0694444444444,0,0,0,6
2014-05-25,NA,NA,NA,NA,NA,NA,NA
2014-06-01,3,3,15,1,1,0.333333333333333,2
2014-06-08,1,1,9,1,1,1,0
